"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.563092000E0,1.334933192E-2,1.998449489E-2,1.054677833E-2
3.573121000E0,9.190578014E-3,2.526082657E-2,-2.160303120E-4
3.583139000E0,-5.679618102E-3,3.475733474E-2,-9.000596590E-3
3.593149000E0,-2.059491910E-2,4.106689617E-2,-1.349547971E-2
3.603143000E0,-2.805256844E-2,4.422168061E-2,-1.574292220E-2
3.613165000E0,-2.266116440E-2,3.357142955E-2,-1.775873266E-2
3.623175000E0,-2.148031816E-2,2.181250602E-2,-2.516391873E-2
3.633152000E0,-2.573300339E-2,1.965230145E-2,-2.627535537E-2
3.643192000E0,-2.472217754E-2,2.287441306E-2,-2.200547792E-2
3.653202000E0,-2.378634177E-2,4.211442173E-2,-1.461041253E-2
3.663192000E0,-2.390461974E-2,5.068135262E-2,-6.106922869E-3
3.673188000E0,-2.286789194E-2,3.896719962E-2,-6.925991620E-4
3.683198000E0,-2.082711086E-2,2.407958917E-2,1.115926635E-2
3.693222000E0,-1.882002875E-2,1.346787252E-2,2.512849681E-2
3.703214000E0,-1.672981493E-2,-1.434670296E-3,3.270956874E-2
3.713224000E0,-1.670451462E-2,-1.637074538E-2,3.385233134E-2
3.723251000E0,-1.784302667E-2,-2.628806792E-2,2.963670529E-2
3.733240000E0,-2.416366152E-2,-2.208264731E-2,2.098760940E-2
3.743250000E0,-3.365143761E-2,-8.308781311E-3,6.909608375E-3
3.753280000E0,-4.108534008E-2,1.403229311E-2,-1.844144077E-3
3.763298000E0,-3.790886700E-2,2.472062223E-2,-1.857201918E-3
3.773308000E0,-3.582547605E-2,2.154905908E-2,3.526910674E-3
